year,region,gender,rank,name
2016,Česko,boy,165-517,Vojtěch Alim
2016,Česko,girl,153-183,Magda
2016,Česko,boy,165-517,Nikita
2016,Česko,girl,153-183,Thao Nhi
2016,Česko,boy,165-517,Timmy
2016,Česko,girl,153-183,Lina
2016,Česko,boy,165-517,Maxiam
2016,Česko,girl,153-183,Anabel
2016,Česko,boy,165-517,Mathias
2016,Česko,girl,153-183,Darina
2016,Česko,boy,165-517,Sven
2016,Česko,girl,153-183,Anna Viktorie
2016,Česko,boy,165-517,Nikolas Adrian
2016,Česko,girl,153-183,Amelie
2016,Česko,boy,165-517,Theodor Jan
2016,Česko,girl,153-183,Agnes
2016,Česko,boy,165-517,Noel
2016,Česko,girl,153-183,Ivana
2016,Česko,boy,165-517,Tom
2016,Česko,girl,153-183,Blanka
2016,Česko,boy,165-517,Noem
2016,Česko,girl,153-183,Edita
2016,Česko,boy,165-517,Vasyl
2016,Česko,girl,153-183,Karla
2016,Česko,boy,165-517,Miloslav
2016,Česko,girl,153-183,Anastasia
2016,Česko,boy,165-517,Vladan
2016,Česko,girl,153-183,Katka
2016,Česko,boy,165-517,Marco Samuel
2016,Česko,girl,153-183,Jasmine
2016,Česko,boy,165-517,Zack George
2016,Česko,girl,153-183,Arina
2016,Česko,boy,165-517,Omar
2016,Česko,girl,153-183,Bella
2016,Česko,boy,165-517,Natan
2016,Česko,girl,184-251,Marika
2016,Česko,boy,165-517,Ondráš
2016,Česko,girl,184-251,Olivie
2016,Česko,boy,165-517,Teodorov Aleks
2016,Česko,girl,184-251,Renata
2016,Česko,boy,165-517,Mergen
2016,Česko,girl,184-251,Michala
2016,Česko,boy,165-517,Thomas Karl
2016,Česko,girl,184-251,Noemi
2016,Česko,boy,165-517,Ondřej Jiří
2016,Česko,girl,184-251,Salome
2016,Česko,boy,165-517,Tobias Robin
2016,Česko,girl,184-251,Marie Anna
2016,Česko,boy,165-517,Ondřej Nicolas
2016,Česko,girl,184-251,Samanta
2016,Česko,boy,165-517,Tomáš Josef
2016,Česko,girl,184-251,Věra
2016,Česko,boy,165-517,Ondřej Tadeáš
2016,Česko,girl,184-251,Milana
2016,Česko,boy,165-517,Tyler
2016,Česko,girl,184-251,Viktoria
2016,Česko,boy,165-517,Matteo Samuel
2016,Česko,girl,184-251,Sandra
2016,Česko,boy,165-517,Martin Evžen
2016,Česko,girl,184-251,Vivienne
2016,Česko,boy,165-517,Minh Khnag
2016,Česko,girl,184-251,Tereza Marie
2016,Česko,boy,165-517,Nhat Minh
2016,Česko,girl,184-251,Lili
2016,Česko,boy,165-517,Minh Thanh
2016,Česko,girl,184-251,Lilien Evelyn
2016,Česko,boy,165-517,Nicolae
2016,Česko,girl,184-251,Marcela
2016,Česko,boy,165-517,Oto
2016,Česko,girl,184-251,Meda
2016,Česko,boy,165-517,Ničervan
2016,Česko,girl,184-251,Ngoc Anh
2016,Česko,boy,165-517,Otto
2016,Česko,girl,184-251,Thao Vy
2016,Česko,boy,165-517,Svatopluk
2016,Česko,girl,184-251,Maria
2016,Česko,boy,165-517,Otto František
2016,Česko,girl,184-251,Sára Thea
2016,Česko,boy,165-517,Mark
2016,Česko,girl,184-251,Victorie
2016,Česko,boy,165-517,Patrick
2016,Česko,girl,184-251,Timea
2016,Česko,boy,165-517,Mateo Ivor
2016,Česko,girl,184-251,Nicoll
2016,Česko,boy,165-517,Ludovít
2016,Česko,girl,184-251,Ráchel
2016,Česko,boy,165-517,Nathan
2016,Česko,girl,184-251,Vivien
2016,Česko,boy,165-517,Patrik Alex
2016,Česko,girl,184-251,Rebeca
2016,Česko,boy,165-517,Theo
2016,Česko,girl,184-251,Matilda
2016,Česko,boy,165-517,patrik Tobias
2016,Česko,girl,184-251,Megan
2016,Česko,boy,165-517,Nathaniel
2016,Česko,girl,184-251,Rozárka
2016,Česko,boy,165-517,Marek Ernest
2016,Česko,girl,184-251,Lilli
2016,Česko,boy,165-517,Tim
2016,Česko,girl,184-251,Maya
2016,Česko,boy,165-517,Pavel Hynek
2016,Česko,girl,184-251,Mája
2016,Česko,boy,165-517,Timothy
2016,Česko,girl,184-251,Světlana
2016,Česko,boy,165-517,Pavel Mario
2016,Česko,girl,184-251,Quynh Anh
2016,Česko,boy,165-517,Tobiáš Filip
2016,Česko,girl,184-251,Renáta
2016,Česko,boy,165-517,Pavlo
2016,Česko,girl,184-251,Karolina
2016,Česko,boy,165-517,Tomáš Daniel
2016,Česko,girl,184-251,Anette
2016,Česko,boy,165-517,Pavlos
2016,Česko,girl,184-251,Katrin
2016,Česko,boy,165-517,Trieu Gia Huy
2016,Česko,girl,184-251,Dora
2016,Česko,boy,165-517,Peter
2016,Česko,girl,184-251,Karina
2016,Česko,boy,165-517,Tuan Kiet
2016,Česko,girl,184-251,Jessica
2016,Česko,boy,165-517,Peter Karl
2016,Česko,girl,184-251,Evelin
2016,Česko,boy,165-517,Uy
2016,Česko,girl,184-251,Jindřiška
2016,Česko,boy,165-517,Marek Josef
2016,Česko,girl,184-251,Hedvika
2016,Česko,boy,165-517,Victor Christian
2016,Česko,girl,184-251,Lada
2016,Česko,boy,165-517,Petr Jan
2016,Česko,girl,184-251,Hanna
2016,Česko,boy,165-517,Viktor Daniel
2016,Česko,girl,184-251,Inna
2016,Česko,boy,165-517,Petr Maxmilián
2016,Česko,girl,184-251,Charlotte
2016,Česko,boy,165-517,Viliam  Vincent
2016,Česko,girl,184-251,Charlota
2016,Česko,boy,165-517,Phuc Dang
2016,Česko,girl,184-251,Amália
2016,Česko,boy,165-517,Maxime
2016,Česko,girl,184-251,Charlotta
2016,Česko,boy,165-517,Matthew
2016,Česko,girl,184-251,Jasmin
2016,Česko,boy,165-517,Máximo
2016,Česko,girl,184-251,Gita
2016,Česko,boy,165-517,Přemysl
2016,Česko,girl,184-251,Darja
2016,Česko,boy,165-517,Michal Teodor
2016,Česko,girl,184-251,Elis
2016,Česko,boy,165-517,Quang Minh
2016,Česko,girl,184-251,Beatrice
2016,Česko,boy,165-517,Vojtěch Nino
2016,Česko,girl,184-251,Amirlan
2016,Česko,boy,165-517,Quang Tiep
2016,Česko,girl,184-251,Anika
2016,Česko,boy,165-517,Yassine
2016,Česko,girl,184-251,Evelyn
2016,Česko,boy,165-517,Quido
